Onderwijsproduct	Toets	Toetscode	Bijlagen	Studiepunten	Resultaat	Behaald	Datum resultaat	Alle pogingen
	Programmeren in Python	EIND		0	-	Nee		
	Onderzoeksverslag	BI1a-V			-	Nee		
	Afvinkopdrachten informatica	BI1a-Af			-	Nee		
	IPV	BI1a-IPV			-	Nee		
	Thematoets Project, (Bio-) Informatica	BI1a-T			-	Nee		
	Basiskennis voor Bio-informatici	EIND		0	-	Nee		
	Kennistoets Chemie en Life Science	BI1b-K			-	Nee		
	Veiligheid	BI1b-Ve			-	Nee		
	Tussentijdse kennistoets	BI1b-Ktt			-	Nee		
	LPO SCV Gesprekstechnieken (Gsp)	BI1b-Gsp			-	Nee		
	Funct. Gespr. 1	BI1b-FG1			-	Nee		
	Eind Kennistoets	BI1b-Ket			-	Nee		
	Opdracht Excel	BI1b-Exc			-	Nee		
	Programmeren in Python (2)	EIND		0	-	Nee		
	Afvinkopdrachten	BI2a-Af			-	Nee		
	Thematoets	BI2a-T			-	Nee		
	Statistiek	BI2a-Stat			-	Nee		
	Opsporen van genetische mutaties bij erfelijke ziektes	EIND		0	-	Nee		
	IPV	BI2b-IPV			-	Nee		
	Praktijkbeoordeling	BI2b-P			-	Nee		
	Onderzoeksverslag	BI2b-V			-	Nee		
	Kennistoets Chemie en Life Science	BI2b-K			-	Nee		
	Thematoets	BI2b-T			-	Nee		
	Tussentijdse Kennistoets	BI2b-Ktt			-	Nee		
	Kennistoets 2	BI2b-Ket			-	Nee		
	LPO SCV Feedback (Fdb)	BI1b-Fdb			-	Nee		
	Programmeren in Python (3)	EIND		0	-	Nee		
	Eindopdracht	BI3a-O			-	Nee		
	Afvinkopdrachten	BI3a-Af			-	Nee		
	Statistiek (R)	BI3a-R			-	Nee		
	Wiskunde 1 (Wi1)	BI3a-Wi1			-	Nee		
	Vergelijkende genoomanalyse: evolutie van virussen	EIND		0	-	Nee		
	IPV	BI3b-IPV			-	Nee		
	Kennistoets Chemie en Life Science	BI3b-K			-	Nee		
	Thematoets	BI3b-T			-	Nee		
	Onderzoeksverslag	BI3b-V			-	Nee		
	Geautomatiseerde identificatie van eiwitten via sequentievergelijking	EIND		0	-	Nee		
	Afvinkopdrachten	BI4a-Af			-	Nee		
	Technische documentatie	BI4a-Td			-	Nee		
	Werkende applicatie	BI4a-Ap			-	Nee		
	Wiskunde 2 (Wi2)	BI4a-Wi2			-	Nee		
	Wiskunde eind (WiE)	BI4a-WIE			-	Nee		
	Sequentie alignment (BLAST) en functionele eiwit analyse	EIND		0	-	Nee		
	Funct.gespr.3	BI4b-FG3			-	Nee		
	HBO-Competentiekaart	BI4b-HBO			-	Nee		
	POP	BI4b-POP			-	Nee		
	Funct.gespr.2	BI4b-FG2			-	Nee		
	IPV	BI4b-IPV			-	Nee		
	Kennistoets Chemie en Life Science	BI4b-K			-	Nee		
	Onderzoeksplan	BI4b-Op			-	Nee		
	Snuffelstage	BI4b-St			-	Nee		
	Thematoets	BI4b-T			-	Nee		
	Onderzoeksverslag	BI4b-V			-	Nee		
	Conflicthantering	BI4b-Ch			-	Nee		
